category,source,process,term_id,adjusted_p_value,logAdjustedPValue,term_size,query_size,intersection_size,effective_domain_size,intersections
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000155380
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000004799
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000164258
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000164405
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000183648
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000168291
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000178741
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000165264
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000119421
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000164919
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000128609
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000173660
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000117118
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000145494
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000150768
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000163541
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000067992
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000124767
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000125356
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000213585
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000189043
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000165629
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000124172
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000115944
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000110955
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000065518
